,silhouette_score
100041096,-0.9174473422844148
100041102,-0.8368297955081936
100041151,-0.8533734331435362
100041187,-0.1309148481644071
100041223,-0.5011839298889911
100041230,-0.5910057221185475
100041253,-0.8608027201975511
100041256,
100041261,-0.511695726402207
100041296,-0.7891531575516074
100041306,-0.8319793339991247
100041352,-0.896486746253128
100041354,-0.7695966034523368
100041375,-0.8767306638896406
100041379,-0.7762822732414959
100041412,-0.1051929435844765
100041433,-0.7872251476328497
100041449,-0.8987723121795363
100041488,-0.1461067276522532
100041505,-0.850488902901224
100041546,-0.847016872218773
100041548,-0.8675982869306028
100041550,-0.5664585105008193
100041554,-0.8222619001686415
100041566,-0.7864058234160961
100041574,-0.674883635901662
100041578,-0.877991613146976
100041579,-0.7967413577037673
100041581,-0.820075440482623
100041585,-0.7064973610057642
100041586,-0.6944805723289661
100041596,-0.7667691091529544
100041621,-0.6762241170457742
100041639,-0.7059470600891262
100041658,-0.86269585652707
100041677,-0.8310743611654101
100041678,-0.8366251890610953
100041687,-0.8862238342048351
100041688,-0.0330537078566441
100041759,-0.6213935671586541
100041787,-0.4012050237042276
100041840,-0.8877585533028644
100041874,-0.8155478940940484
100041890,-0.1289120198314045
100041895,-0.1953976644225143
100041952,-0.6419913841584893
100041953,-0.5334564643265349
100041979,-0.7073086596634462
100042055,-0.9297597275583124
100042065,-0.8664780252848225
100042109,-0.7311977374897805
100042144,-0.732730414255665
100042149,-0.8300846349915366
100042150,-0.6981177943912007
100042159,-0.6845794852561171
100042165,-0.6097855970010233
100042168,-0.541257520699405
100042175,-0.7770589457558525
100042254,-0.6436628055381007
100042275,-0.6248337328784388
100042314,-0.8473134869255271
100042342,-0.8952627144842303
100042428,
100042437,-0.7008118368811737
100042450,-0.8544533032836562
100042453,-0.8511057588151342
100042480,-0.7153034225504049
100042485,-0.451143409689388
100042493,-0.8991412874603538
100042499,-0.7327285395754843
100042514,-0.8105205950020361
100042555,-0.685526149381557
100042591,-0.8799451438368247
100042636,-0.8414429881214899
100042653,-0.832903417581844
100042690,-0.8832816366948124
100042761,-0.8798893757703076
100042776,-0.8431397845594198
100042781,-0.7882572357643911
100042782,-0.0658248992533971
100042784,-0.8786795265460272
100042786,-0.7731192002039704
100042807,-0.7780128156886751
100042810,-0.8482747126687354
100042840,
100042848,-0.8120812627430162
100042849,-0.8766024513861723
100042855,-0.8646365143449725
100042856,-0.8652751850711451
100042874,-0.8558118424742626
100042881,-0.8544162199835751
100042891,-0.8748793588813177
100042894,-0.8644890893719103
100042921,-0.8086545644930422
100042922,-0.9011750789354708
100042927,-0.930438745032973
100042929,-0.9308422078211428
100042931,-0.930194747593578
100042939,-0.9105373597771568
100042943,-0.9006181834763141
100042944,-0.917232623586952
100042946,-0.9157528424684472
100042964,-0.7646080043573391
100042968,-0.7391482507855864
100042971,-0.7690179815683799
100042976,-0.6577247015810743
100042996,-0.7276517501494497
100043013,-0.7311821184999011
100043016,-0.7629951351762057
100043019,-0.7690536287159223
100043025,-0.5728967365495085
100043029,-0.7608176050694668
100043033,-0.720450275960884
100043034,-0.7373832658636267
100043037,-0.7254164285363999
100043043,-0.7449122535434537
100043051,-0.7554410984657146
100043057,-0.886881996334657
100043058,-0.7663833823434176
100043061,-0.6328859868369981
100043067,-0.7575658221521936
100043079,-0.6660855078433283
100043083,-0.2305130019004995
100043088,-0.7836641627538268
100043101,-0.0970120514063496
100043103,-0.5082100120965005
100043108,-0.8369988809286192
100043123,-0.9287487864648512
100043125,-0.9444527715980152
100043133,-0.7743482248035022
100043188,-0.309099089480544
100043194,-0.654876192415557
100043200,-0.1949358434851424
100043216,-0.8493695421699243
100043225,
100043227,-0.865197109762495
100043231,-0.8670794815310005
100043235,-0.8660627188494532
100043239,-0.8704295558886427
100043254,-0.8376282602253968
100043300,-0.6995145952734863
100043314,-0.8901460776844341
100043326,-0.400322807013449
100043332,-0.8737680188947314
100043381,-0.6523482335379104
100043387,-0.6771004216582405
100043456,-0.9532743726452172
100043468,-0.7358388179320725
100043474,-0.934473423141014
100043497,-0.8214097044106331
100043523,-0.6942718766068326
100043536,-0.7021035399387284
100043569,-0.6564586450838054
100043585,
100043596,-0.6362659758408672
100043597,-0.6215829741195714
100043604,-0.6939429584058562
100043614,-0.6238872672435465
100043627,-0.5304871718749137
100043638,-0.7561703871730691
100043645,-0.77566308585716
100043665,-0.7372835197728697
100043667,-0.6572395480598457
100043684,-0.9124393627455204
100043686,-0.913446210538718
100043688,-0.9126876515323802
100043757,-0.846642996742775
100043772,-0.6770385555857632
100043813,-0.526597680672354
100043836,-0.5298822853736183
100043842,-0.445180045688317
100043856,-0.2937728835158574
100043860,-0.2450784178849141
100043861,-0.804532046281557
100043868,-0.9184656325280808
100043899,-0.8680767171781332
100043915,-0.651564005604876
100044509,-0.602393779139374
100045778,-0.9284470628487194
100045792,-0.8024265889383099
100048534,-0.7237990636594881
100048644,-0.866909582836445
100048658,-0.7872152264837539
100048884,-0.8930999299675627
100061,-0.9259163817025804
100066,-0.7599206720069084
100072,-0.6449943567799348
100073351,-0.925051599647022
100087,-0.8534963149223249
100088,-0.8337086840027916
100090,-0.8700103805672594
100101806,-0.5839300537624559
100101807,-0.6180021439102977
100101919,-0.6373272210582636
100102,-0.9104169812322412
100113398,-0.901383958804964
100121,-0.7549074982165979
100125586,-0.8684142446037718
100126226,-0.8824532900209903
100126765,-0.3581295548171325
100126766,-0.9052696909026224
100126768,-0.4097663588006372
100126773,-0.7634226489301024
100126774,
100126775,-0.8469542272898607
100126776,-0.2162095305012318
100126777,-0.699761925194096
100126778,-0.8479703294343566
100126779,-0.3565491272963953
100126824,-0.5668876708247891
100129,-0.8225829621647389
100135654,-0.7333644558089315
100135657,-0.7377537193107423
100141474,-0.9108401641111584
100155,-0.815332501041197
100163,-0.8254381024608031
100169,-0.71280584128399
100177,-0.7422479214047816
100182,-0.8979751631217378
100189605,-0.9048942705957111
100191037,-0.6365087949627776
100198,-0.8994608977032128
